SR. NO,headline,type,Post_url,post_day,post_date,activity_type,video_length(Mins),Feautured Himself Or Not,tags_used,post_comments,influencer_comments,hashtags_used,repost,likes,cl_post_time
59.0,"You have such magic within you. I am here, at your service, to help you bring it to life",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_you-have-such-magic-within-you-i-am-here-activity-7170779842257244161-nB_7?utm_source=share&utm_medium=member_desktop,Tue,2024-03-05,IMAGE POST,0.0,NO,NONE,47.0,6.0,none,8.0,247.0,01:59:01
60.0,Too many good souls are spending their finest hours chasing the wrong things. My new book “The Wealth Money Can’t Buy” will be available in 50+ countries on April 9,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_too-many-good-souls-are-spending-their-finest-activity-7170677199564435456-kgf5?utm_source=share&utm_medium=member_desktop,Tue,2024-03-05,VIDEO,89.0,YES,NONE,5.0,0.0,NO,7.0,57.0,07:11:09
61.0,"The way you start your day is of MAJOR importance to the way it unfolds.Get one of the last memberships in my absolutely transformational new online course, HabitCamp, at an incredible fee ",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7170417202913873920-l54O?utm_source=share&utm_medium=member_desktop,Mon,2024-03-04,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,61.0,7.0,YES,17.0,431.0,01:58:01
62.0,Greatness comes from doing the right thing. This path is hard. Yet it’ll lead you to a place you’ll love. ,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_greatness-comes-from-doing-the-right-thing-activity-7169330290778177537-9Ymk?utm_source=share&utm_medium=member_desktop,Fri,2024-03-01,IMAGE POST,0.0,NO,NONE,33.0,5.0,NO,14.0,212.0,01:59:01
63.0,Stop waiting for the ideal time to become your best self because the days are passing and all your inner growth will drive gorgeous outer success.,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7168967147988201472-0rZv?utm_source=share&utm_medium=member_desktop,Thu,2024-02-29,VIDEO,54.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,13.0,4.0,YES,1.0,63.0,13:56:01
64.0,"In tough times protect your hope by trusting in life’s fairness. Everything that unfolds happens for your favor, not for your failure.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7168605510907125761-MTKe?utm_source=share&utm_medium=member_desktop,Wed,2024-02-28,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,74.0,7.0,YES,4.0,318.0,01:59:00
65.0,As the world gets messier why not work with what’s happening to make yourself braver. That’s how the heroes roll. And the masters play.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7167880487703670784-_Qde?utm_source=share&utm_medium=member_desktop,Mon,2024-02-26,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,37.0,8.0,YES,2.0,144.0,01:58:01
66.0,Have the wisdom and discipline to let go of low producers who do not fit in your high-performance culture. And double down on bringing on the superstars who will cause your shop to lead its field.,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7167518351475331072-H8_6?utm_source=share&utm_medium=member_desktop,Sun,2024-02-25,VIDEO,65.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,13.0,6.0,YES,9.0,107.0,01:59:01
67.0,We dismiss our lofty dreams and deny our ethical ambitions. We begin to lead half lives: being busy being busy and occupying our days with trivial pursuits....instead of honouring the genius that lives within every human spirit.,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7166430936270626816-lFkE?utm_source=share&utm_medium=member_desktop,Thu,2024-02-22,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,33.0,8.0,YES,9.0,211.0,01:58:01
68.0,"The headliners go dark a lot. They spend long stretches of time in solitude, monomaniacally focused on the masterwork they know will turn their field on its head.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7166068548358905860-iVg1?utm_source=share&utm_medium=member_desktop,Wed,2024-02-21,VIDEO,69.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,14.0,4.0,YES,8.0,106.0,01:58:01
69.0,What habit will you install over 2024? ✊🏽 ,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7165706408024330240-psP7?utm_source=share&utm_medium=member_desktop,Tue,2024-02-20,VIDEO,54.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,8.0,2.0,YES,7.0,71.0,01:59:00
70.0,You become your associations. Your life looks a lot like the people you hang with. Choose well. Your greatness depends on it.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7165344024235597824-CD7y?utm_source=share&utm_medium=member_desktop,Mon,2024-02-19,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,35.0,10.0,YES,5.0,170.0,01:59:01
71.0,"Own your specialness,celebrate our virtues, appreciate your goodness",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_from-the-everyday-hero-manifesto-im-curious-activity-7164981636491640832-IWrE?utm_source=share&utm_medium=member_desktop,Sun,2024-02-18,IMAGE POST,0.0,NO,,17.0,3.0,YES,35.0,387.0,13:59:01
72.0,"We are called human beings versus “human doings” for a reason: we’re meant to take breaks from our creativity, productivity, and contribution to our community. Exhausted people never become game-changers.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7164619248571518977-FTuR?utm_source=share&utm_medium=member_desktop,Sat,2024-02-17,VIDEO,89.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,9.0,0.0,YES,6.0,115.0,01:59:01
73.0,Extraordinary leaders are honest—understanding that integrity is everything and that a 20-year good reputation could be lost in 20 seconds of poor judgement.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7164256860743680000-R_zv?utm_source=share&utm_medium=member_desktop,Fri,2024-02-16,VIDEO,7.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,16.0,0.0,YES,7.0,195.0,01:59:01
74.0,Fill your brain with giant dreams so there is no room for petty pursuits. Our world needs you rising to your best like never before,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_eliteperformance-personalmastery-soulfulness-activity-7163810852159094784-PfBx?utm_source=share&utm_medium=member_desktop,Thu,2024-02-15,IMAGE POST,0.0,YES,#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quoteoftheday hashtag#robinsharma hashtag#theeverydayheromanifesto hashtag#5amlub,44.0,8.0,YES,6.0,230.0,08:26:44
75.0,"Exercise and peak fitness grow your income, production, and service to the world. So get super fit and work out vigorously each morning. Start small yet aim high. ",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7163531833387790336-WYl5?utm_source=share&utm_medium=member_desktop,Wed,2024-02-14,VIDEO,44.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,25.0,8.0,YES,6.0,145.0,01:58:01
76.0,Those who will win + shine + own the game love ideas and information that push their limits. They ache to expand. They devote to ascension. They hunger for the heroic. They want to spend the rest of their lives on pursuits that are meaningful. And of service to others. While they exploit their potential on the road to mastery.,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7163169697159434243-26cN?utm_source=share&utm_medium=member_desktop,Tue,2024-02-13,IMAGE POST,0.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,25.0,7.0,YES,16.0,172.0,01:59:01
77.0,"Legendary athletes will tell you that games are won before a foot is set on the court (by deep, focused, heroic practice). When I mentor a client, one of the protocols I put in place within the first week of the advisory engagement is a world-class morning routine. This ensures that they are positive, focused, energized, and extremely productive in this time of volatility and negativity.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7162807057555927041-oPse?utm_source=share&utm_medium=member_desktop,Mon,2024-02-12,VIDEO,74.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,12.0,4.0,YES,10.0,100.0,13:58:01
78.0,"Winning is both making your own ethical ambitions come true while giving those that you serve overwhelming benefit through the work you do, products you calibrate, and services that you offer.",ABOUT BOOK  “The Everyday Hero Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7162454203574009856-guzT?utm_source=share&utm_medium=member_desktop,Sun,2024-02-11,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,33.0,6.0,YES,4.0,199.0,02:35:54
79.0,"For people thinking like victims, the road ahead will be grim.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7161719893967519747-4SGa?utm_source=share&utm_medium=member_desktop,Fri,2024-02-09,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,13.0,4.0,YES,2.0,82.0,13:58:01
80.0,"The cultural hypnosis that pushes people to seek more and more money has a lot of invisible thought layers beneath it. As you increase the richness and satisfaction of your lifestyle, please don’t get caught up in the pack of people chasing a treasure that might turn out to be fool’s gold.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7161357757726539776-97PL?utm_source=share&utm_medium=member_desktop,Thu,2024-02-08,VIDEO,37.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,24.0,9.0,YES,8.0,72.0,01:59:01
81.0,"Being a real leader is about what you GIVE versus what you get. Monumental leaders understand that success breeds complacency and—because of this—they stay hungry, creative, and hypervigilant to the threats that could knock off their golden crown.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7160995369894469632-UYUE?utm_source=share&utm_medium=member_desktop,Wed,2024-02-07,VIDEO,45.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,104.0,5.0,YES,3.0,104.0,01:59:01
82.0,"The best among us will produce inventions, disruptions and solutions that will lead to a completely new and better way of working and living. In the future.",ABOUT BOOK  “The Everyday Hero Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7160645814577459202-94Q3?utm_source=share&utm_medium=member_desktop,Tue,2024-02-06,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,25.0,6.0,YES,9.0,278.0,02:50:00
83.0,"I’m not anti-many things. I do my best to live peacefully, to salute the gifts in others and to tread the earth with light footprints. I’m sure you do the same",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7160270342538608641-c2U3?utm_source=share&utm_medium=member_desktop,Mon,2024-02-05,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,33.0,6.0,YES,4.0,121.0,01:58:01
84.0,"The rise to world-class is a messy sport.As you reclaim your bigness, express more of your genius, and step out into the world in a flight of blazing glory…...you will be misunderstood....you will question yourself",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7159545818482429952-VaWG?utm_source=share&utm_medium=member_desktop,Sat,2024-02-03,VIDEO,39.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,10.0,1.0,YES,3.0,77.0,01:59:01
85.0,Easy to forget that successful people didn’t just wake up that way. They started off ordinary – with a goal – and then focused on the daily small steps required to reach it,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7159183178916593665-REh2?utm_source=share&utm_medium=member_desktop,Fri,2024-02-02,VIDEO,49.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,49.0,4.0,YES,8.0,126.0,01:58:01
86.0,"Reading has been one of the essential practices to fuel my inspiration, creativity, performance and intimacy with possibility.",PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7158821042709225473-9xMg?utm_source=share&utm_medium=member_desktop,Thu,2024-02-01,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,46.0,5.0,YES,6.0,256.0,01:59:01
87.0,So the more you train on leaning into what terrifies you the better you’ll get at it.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7158458654801752065-le9x?utm_source=share&utm_medium=member_desktop,Wed,2024-01-31,VIDEO,32.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,9.0,4.0,YES,7.0,102.0,01:59:01
88.0,Success lies in a masterful consistency around the fundamentals.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7158102985598750721-7gdQ?utm_source=share&utm_medium=member_desktop,Tue,2024-01-30,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,31.0,7.0,YES,43.0,750.0,14:25:42
89.0,"Too many want greatness without paying the price greatness requires. Too many among us wish for a bounty of success yet refuse to do the work, take the risks and endure the trials success demands. Too many crave a gorgeous life yet hope it will show up like shiny presents under a tree on Christmas morning.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7157743155390349312-sHhl?utm_source=share&utm_medium=member_desktop,Mon,2024-01-29,VIDEO,54.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,15.0,6.0,YES,10.0,148.0,14:35:52
90.0,The way you start the first part of 2024 will define how the year unfolds. So—obviously—begin it strong.,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7157371239634731008-5alR?utm_source=share&utm_medium=member_desktop,Sun,2024-01-28,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,53.0,6.0,YES,9.0,274.0,01:58:01
91.0,Consistency is the mother of mastery and persistency is how you get to legendary.,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7156646463899336704-o2UG?utm_source=share&utm_medium=member_desktop,Fri,2024-01-26,VIDEO,50.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,21.0,5.0,YES,11.0,133.0,01:58:01
92.0,"It’s so easy to get caught in the snare of chasing things that lead to emptiness, at the end. Our culture sells us on trinkets and toys as a means to our salvation. And unification with our highness. Don’t believe it.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7155922244731289601-LVne?utm_source=share&utm_medium=member_desktop, Wed,2024-01-24,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,15.0,4.0,YES,2.0,168.0,02:00:13
93.0,"If you’ve been following my work for many years, you’ve likely heard me teach “Mindset, Heartset, Healthset, and Soulset”.Calibrating these four inner dimensions to world-class is the very DNA of greatness when it comes to creativity, productivity, prosperity, and impact.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7155559873412231168-V4ES?utm_source=share&utm_medium=member_desktop,Tue,2024-01-23,VIDEO,63.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,19.0,5.0,YES,14.0,168.0,02:00:17
94.0,"Your daily habits are creating your brighter future. And life’s too short to miss out on knowing what it’s like to operate at your highest level, right?",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7155197163998748673-bn9z?utm_source=share&utm_medium=member_desktop,Mon,2024-01-22,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,27.0,6.0,YES,3.0,124.0,01:59:01
95.0,"To refuse to surrender to apathy by exposing your artistic instincts to the light of day is to really live. We all were ever so creative as kids. Sadly, too many good souls have lost that connection as we have matured into adulthood",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7154834524583989248-2IDf?utm_source=share&utm_medium=member_desktop,Sun,2024-01-21,VIDEO,89.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,17.0,2.0,YES,0.0,49.0,13:58:01
96.0," Gifts on Pre Order of book “The Wealth Money Can’t Buy” . You can win. You are special. And no matter what yesterday looked like, today can be so much better",PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_pre-order-my-hugely-anticipated-new-book-activity-7154479527379812352-t7E5?utm_source=share&utm_medium=member_desktop,Sat,2024-01-20,VIDEO,0.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,8.0,4.0,YES,2.0,129.0,02:27:23
97.0,"We live in a world of tectonic change. The old rules no longer apply and to stay focused, positive, productive and peaceful, we must find better ways to stand in our power. Daily.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7154110000431337472-a-kP?utm_source=share&utm_medium=member_desktop,Fri,2024-01-19,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,43.0,7.0,YES,9.0,225.0,01:59:01
98.0,"Pre-order my hugely anticipated new book ""The Wealth Money Can't Buy"" here. and receive 5 truly extraordinary FREE bonuses",PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_pre-order-my-hugely-anticipated-new-book-activity-7153903234783264771-MvH1?utm_source=share&utm_medium=member_desktop,Fri,2024-01-19,VIDEO,520.0,YES,NONE,10.0,4.0,NO,0.0,74.0,00:17:24
99.0,Tomorrow—after hearing the overwhelming demand to do this—I will reveal the cover of my new book “The Wealth Money Can’t Buy: The 8 Hidden Habits to Live Your Richest Life.”,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_tomorrowafter-hearing-the-overwhelming-demand-activity-7153380089974390785-tn8L?utm_source=share&utm_medium=member_desktop,Wed,2024-01-17,IMAGE POST,0.0,NO,NONE,8.0,4.0,NO,5.0,111.0,01:38:36
100.0,Thank you Athens. You have my heart.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_thank-you-athens-you-have-my-heart-activity-7153022585268543488-wN5L?utm_source=share&utm_medium=member_desktop,Tue,2024-01-16,VIDEO,34.0,YES,NONE,16.0,2.0,NO,2.0,206.0,01:58:01
101.0,"I have a sense that while 2024 will come with volatility, it will ultimately be a wonderful year.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7152660755559981056-Vdwr?utm_source=share&utm_medium=member_desktop,Mon,2024-01-15,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,50.0,7.0,YES,14.0,322.0,02:00:14
102.0,There are two types of income: external [money and title] and internal [pride in doing great work and pursuing mastery]. The ordinary chase the first. The exceptional want the last,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7152297809566691328-vAqM?utm_source=share&utm_medium=member_desktop,Sun,2024-01-14,VIDEO,61.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,28.0,5.0,YES,18.0,158.0,01:58:01
103.0," personal message to your greatest self: this new year can be your finest year. Today, you can make a decision to start a fresh habit that—when practiced with the consistency that breeds mastery—will cause revolutions of growth within a few months. And I know of no smarter habit to start than joining",ABOUT BOOK  “The 5AM Club”,https://www.linkedin.com/posts/robinsharmaofficial_the5amclub-activity-7151573559197196288-H28m?utm_source=share&utm_medium=member_desktop,Fri,2024-01-12,IMAGE POST,0.0,NO,NONE,18.0,5.0,NO,7.0,216.0,02:00:06
104.0,"We live in a world of tectonic change. The old rules no longer apply and to stay focused, positive, productive, and peaceful, we must find better ways to stand in our power",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7151210645936320512-n94r?utm_source=share&utm_medium=member_desktop,Thu,2024-01-11,IMAGE POST,0.0,NO,NONE,42.0,6.0,NO,8.0,167.0,01:58:01
105.0,"Know your values and then live them, at all costs.",HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7150848257965912065-ELtQ?utm_source=share&utm_medium=member_desktop,Wed,2024-01-10,VIDEO,51.0,YES,NONE,19.0,4.0,NO,7.0,114.0,13:58:01
106.0,The cold yet precious truth is this: you’ve been presented with an exceptional series of opportunities by this pristine New Year. And excuses won’t allow you to rise and thrive as the world transforms,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7150485870108647424-HvN3?utm_source=share&utm_medium=member_desktop,Tue,2024-01-09,IMAGE POST,0.0,NO,NONE,28.0,5.0,NO,3.0,107.0,01:58:01
107.0,One of the things I adore about my readers is their unusual love of reading and learning.,HabitCamp Membership ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7150123478078201857-Wg8j?utm_source=share&utm_medium=member_desktop,Mon,2024-01-08,VIDEO,47.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,24.0,6.0,YES,8.0,141.0,01:58:00
