SR. NO,headline,type,Post_url,post_day,post_date,activity_type,video_length(Mins),Feautured Himself Or Not,tags_used,post_comments,influencer_comments,hashtags_used,repost,likes,cl_post_time
169.0,An obsession is only unhealthy if it’s an unhealthy obsession,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-soulfulness-activity-7127293581517582336-nhLL?utm_source=share&utm_medium=member_desktop,"Mon,",2023-11-06,VIDEO,44.0,YES,#leadership hashtag#productivity hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#robinsharma hashtag#PersonalGrowth hashtag#motivation hashtag#success hashtag#love ,20.0,6.0,YES,6.0,92.0,14:00:08
170.0,The way you start your day is of MAJOR importance to the way it unfolds.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7126930407203164161-aPdN?utm_source=share&utm_medium=member_desktop,Sun,2023-11-05,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,119.0,9.0,YES,32.0,629.0,01:57:01
171.0,"Locked away in a hotel room (in Rome). Windows open and I can hear an opera singer singing. It’s now over one year of devoted (obsessed?) work on my new book “The Wealth Money Can’t Buy.” On the short roads. This review will be quick as all the endless writing and rewriting is done. The manuscript has now been copy edited and all I have to do is fly through it, carefully.",ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-soulfulness-activity-7126568015164289024-UYjG?utm_source=share&utm_medium=member_desktop,Sat,2023-11-04,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#robinsharma ,106.0,8.0,YES,6.0,340.0,01:57:00
172.0,You know—if you’ve been consuming my methodology over the years—that I highly believe that “success lies in a masterful consistency around the fundamentals.”,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7126205878902435840-5oOW?utm_source=share&utm_medium=member_desktop,Fri,2023-11-03,VIDEO,32.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,40.0,5.0,YES,6.0,90.0,13:58:00
173.0,This world of ours is full of great thinkers who never realized their greatness. They were strong on the thinking piece but weak on the execution side. ,ABOUT BOOK  “The Everyday Hero Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7125844039639179264-AHeS?utm_source=share&utm_medium=member_desktop,Thu,2023-11-02,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,24.0,6.0,YES,7.0,243.0,02:00:10
174.0,"Success without honour is a trivial sport. I do believe that even if no one appreciates your vision, ambition, expertise, and kindness the fact that you’re this kind of leader is good for your soul. ",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7125481615601876992-CC4G?utm_source=share&utm_medium=member_desktop,Wed,2023-11-01,VIDEO,44.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,22.0,6.0,YES,21.0,195.0,02:00:02
175.0,Those who condemn you are locked in their limited beliefs and terrified of their own bigness. That magic that was awake within them when they were kids has been stuffed deep into their darkest natures through life’s trials and corresponding traumas.,GET FREE COPY OF BOOK  “The World Changer’s Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7125118719504084993-GZb3?utm_source=share&utm_medium=member_desktop,Tue,2023-10-31,VIDEO,48.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,16.0,5.0,YES,6.0,86.0,01:58:01
176.0,"Today, I want to share my simple thoughts on what makes a TRULY successful life.",ALL BOOKS TO MASTERY,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7124756080022175744-0I1K?utm_source=share&utm_medium=member_desktop,Mon,2023-10-30,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,65.0,7.0,YES,10.0,282.0,01:57:01
177.0,Calibrating and polishing the tiniest of details is a necessity for mastery. Sloppy execution generates no wow.,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7124393943869308928-UWds?utm_source=share&utm_medium=member_desktop,Sun,2023-10-29,VIDEO,61.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,10.0,5.0,YES,13.0,123.0,13:58:01
180.0,"Mastery takes massive practice, unrelenting patience and vast devotion. It’s a very difficult obsession.",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7124016456479952896-Yb3s?utm_source=share&utm_medium=member_desktop,Sat,2023-10-28,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,35.0,5.0,YES,8.0,192.0,12:58:01
181.0,"I’m reflecting. Just thinking. Because I do not wish to fall into the rut of moving enthusiastically in a direction, only to find in a few years that it was the wrong one.",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7123291177365164032-b5r9?utm_source=share&utm_medium=member_desktop,Thu,2023-10-26,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,23.0,5.0,YES,16.0,272.0,12:56:01
182.0,"Authenticity is a powerful gateway drug into JPF: Joy/Peace/Freedom, isn’t it?",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7122929042349015040-BHKc?utm_source=share&utm_medium=member_desktop,Wed,2023-10-25,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,32.0,6.0,YES,4.0,169.0,12:57:01
183.0,You have a superpower. It’s the ability of your brain to grow and adapt to new situations so you learn new skills.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7122566150047117312-yA_T?utm_source=share&utm_medium=member_desktop,Tue,2023-10-24,VIDEO,37.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,19.0,5.0,YES,10.0,150.0,12:55:01
184.0,Mantras are incredibly powerful and set you up for a top day. ,ABOUT BOOK  “The Everyday Hero Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_1bestseller-leadership-productivity-activity-7122207047131029504-FrJq?utm_source=share&utm_medium=member_desktop,Mon,2023-10-23,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,41.0,6.0,YES,7.0,213.0,01:08:04
185.0,"You can live your highest life or be around drama-loving people yet you can’t do both. Strip the complainers, excuse-makers, and naysayers from your life today! It’ll revolutionize your mindset, performance, happiness, and impact. ",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7121842641893257216-EI3Z?utm_source=share&utm_medium=member_desktop,"Sun, ",2023-10-22,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,18.0,6.0,YES,6.0,143.0,01:00:03
186.0,"After months of having to wait to make the announcement, today is the day!!! My new book is called “The Wealth Money Can’t Buy”. It’s the most special book I’ve ever done. It’ll be in bookstores worldwide on April 9. Pre-orders start in January. Love, Robin",FIRST ANNOUNCEMENT OF BOOK “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7121480256519049216-YNJL?utm_source=share&utm_medium=member_desktop,Sat,2023-10-21,VIDEO,45.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma ,36.0,6.0,YES,4.0,284.0,01:00:03
187.0,"As famed comedian Steve Martin once said: “Be so good they can’t ignore you.”To me, work is not only a worldly pursuit but also a spiritual one. ",GET FREE COPY OF BOOK  “The World Changer’s Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7121117605129560065-WW4A?utm_source=share&utm_medium=member_desktop,Fri,2023-10-20,VIDEO,45.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma ,19.0,6.0,YES,25.0,281.0,12:59:01
188.0,One must wage a fight against the beliefs of others that will keep you small. ,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-soulfulness-activity-7120755968124055552-8HCH?utm_source=share&utm_medium=member_desktop,Thu,2023-10-19,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma ,33.0,5.0,YES,3.0,177.0,01:02:00
189.0,"By popular demand I’m posting part of this chapter from The Everyday Hero Manifesto, a book that has been shared by everyone from business titans and sports heroes to top influencers like Kim Kardashian and Jeezy. Please share it with someone you love. Have you read the book? Love + respect, Robin",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_by-popular-demand-im-posting-part-of-this-activity-7120392076805976064-r-qh?utm_source=share&utm_medium=member_desktop,Wed,2023-10-18,IMAGE POST,0.0,NO,NONE,19.0,7.0,YES,26.0,425.0,12:56:01
